Month,NDVI,EVI,LST,LST_Night,Rainfall,Soil_Moisture,SPI,PET,SPEI,NDVI_min,NDVI_max,VCI,LST_min,LST_max,TCI,SM_min,SM_max,SMCI,VHI,SIWSI
01-09-2007,6920.280291,4561.388842,29.89101551,22.26264408,8.297921343,0.451255765,0.37069096,125.4271362,0.761044627,1899.864131,6920.280291,100,27.33068144,49.10846569,88.24336745,0.203027177,0.451964417,99.71532917,94.12168373,0.694278586
01-10-2007,6062.400027,3650.177131,32.16671927,18.10195859,0.830518992,0.318608964,-0.633988578,166.6522968,0.228063745,1899.864131,6920.280291,82.9121683,27.33068144,49.10846569,77.79371044,0.203027177,0.451964417,46.43009077,80.35293937,0.611022195
01-11-2007,5396.353413,2960.769774,31.3603282,16.5013803,0.447812213,0.25343454,0.415362732,166.4913423,0.224970932,1899.864131,6920.280291,69.64540728,27.33068144,49.10846569,81.49652546,0.203027177,0.451964417,20.24902441,75.57096637,0.541723794
01-12-2007,4782.342516,2582.369927,30.02549127,15.8498937,0.120061488,0.208019956,0.072318284,158.7477078,0.324370347,1899.864131,6920.280291,57.41512841,27.33068144,49.10846569,87.62587689,0.203027177,0.451964417,2.005637663,72.52050265,0.475320562
01-01-2008,4336.379559,2372.217864,29.92364791,14.91458372,0.221136115,0.204972666,-0.740118693,161.2685481,0.292825885,1899.864131,6920.280291,48.53214057,27.33068144,49.10846569,88.09352484,0.203027177,0.451964417,0.781517767,68.31283271,0.427510901
01-02-2008,3679.119576,2015.891851,34.36622758,16.65867524,0.18275356,0.211980909,-1.152548376,188.6393893,-0.133445043,1899.864131,6920.280291,35.44039754,27.33068144,49.10846569,67.69393038,0.203027177,0.451964417,3.59678263,51.56716396,0.361391241
01-03-2008,3089.714579,1643.228462,40.75931759,22.0748367,1.193395189,0.239741644,1.570304918,220.1895412,-0.832453475,1899.864131,6920.280291,23.70023541,27.33068144,49.10846569,38.33791356,0.203027177,0.451964417,14.74848321,31.01907448,0.309209668
01-04-2008,2877.83129,1551.16261,46.54374048,25.41319819,0.206289186,0.221693896,-0.716203566,248.9222882,-2.064141783,1899.864131,6920.280291,19.47980263,27.33068144,49.10846569,11.77679592,0.203027177,0.451964417,7.49856425,15.62829927,0.288921005
01-05-2008,2504.066898,1395.873735,46.72135638,26.75443938,0.180670086,0.202631793,-1.027383054,252.2285542,-2.309317038,1899.864131,6920.280291,12.03491399,27.33068144,49.10846569,10.96121295,0.202631793,0.451964417,0,11.49806347,0.253873796
01-06-2008,2204.180301,1436.698692,46.77873258,27.25014202,5.356421326,0.355166641,-0.222958053,250.7094823,-1.859222242,1899.864131,6920.280291,6.061572576,27.33068144,49.10846569,10.69775088,0.202631793,0.451964417,61.17725215,8.379661729,0.209409904
01-07-2008,3348.088799,2240.021564,37.04146156,21.48881917,8.216160233,0.417061919,-1.065444597,192.1063857,-0.052220474,1899.864131,6920.280291,28.84670557,27.33068144,49.10846569,55.40969635,0.202631793,0.451964417,86.00163201,42.12820096,0.269691569
01-08-2008,6335.834172,4379.996265,31.6940505,21.69354958,9.434004973,0.436683016,-0.01850611,145.6299585,0.5818467,1899.864131,6920.280291,88.35861211,27.33068144,49.10846569,79.9641276,0.202631793,0.451964417,93.8710785,84.16136985,0.621920904
01-09-2008,6841.340005,4419.829379,30.55675417,22.13101091,7.188501671,0.430467195,-0.099132397,132.6218214,0.686766624,1899.864131,6920.280291,98.42761471,27.33068144,49.10846569,85.18640513,0.202631793,0.451964417,91.3780949,91.80700992,0.689358266
01-10-2008,5688.162357,3334.485313,34.11694444,19.07249794,0.78031259,0.312374995,-0.705376838,178.2213749,0.054849144,1899.864131,6920.280291,75.4578526,27.33068144,49.10846569,68.83859752,0.202631793,0.451964417,44.01477835,72.14822506,0.570472719
01-11-2008,5014.795609,2725.457713,32.57476086,17.77360891,0.431450782,0.237838331,0.367332233,171.1180239,0.158385833,1899.864131,6920.280291,62.04528428,27.33068144,49.10846569,75.92005064,0.202631793,0.451964417,14.12030943,68.98266746,0.498342587
